Unnamed: 0,이름,세부장르,장소,일시,출연진,Staff,줄거리
12,댄싱피버,창작,해당공연 공연장,일시 : 2022.04.25 ~ 오픈런,"천상민, 김재욱, 조제상, 황지민, 최수연, 박혜림, 박가은, 박소진, 최솔, 김보경, 김지성, 심예진, 권은서, 민나래, 이슬기, 현수아, 장연수, 곽영철, 이준녕, 이준범","오리라, 김혜진","어린 시절 춤꾼들 사이에서는 알아주는 실력자로 인정받았던 태양은 확고한 스타일과 자신의 춤에 대한 고집 때문에 함께 하던 동료들과 멀어 지고 빠르게 바뀌는 춤의 흐름에서 동떨어지면서 지금은 생계를 위해 동네 댄스학원에서 수강생들에게 다이어트 댄스를 가르치고 있다. 어느 날, 함께 춤을 췄던 친구 루아가 태양을 찾아와 몸치를 댄서로 변화시키는 유튜브 콘텐츠를 기획하고 있다면서 태양에게 미미와 유연에게 춤을 가르쳐 댄서로 만들면 엄청난 변화를 받아들이지 않아 최고의 자리에서 대중의 비난을 받으며 바닥으로 곤두박질 친 태양의 과거를 너무 잘 알고 있는 루아는 포기하지 않고 태양을 설득하고 루아의 진심 어린 위로와 조언에 용기를 얻은 태양은 스스로를 위해 도전 해보기로 하는데 태양은 과연 몸치에 박치인 미미와 유연을 댄서로 변화 시키고 다시 한 번 춤신춤왕으로 대중들 앞에 거듭날 수 있을까? 자신의 인생에서 가장 가치 있다고 생각하는 것을 위한 치열하고 짠내 나는 도전이 지금 바로 시작된다!"
13,더 데빌 : 에덴,창작,유니플렉스 1관 (대극장),2023.09.21 ~ 2023.11.26,"김찬호, 조형균, 김준영, 정동화, 박규원, 백인태, 여은, 이지연, 이재림, 이기현, 반정모, 김우성, 이효정, 김명지","이지나, 신은경","이전에도, 지금도, 앞으로도 이어질 이야기 캐릭터 X-BLACK, X-WHITE를 중심으로 작품세계관확장 방황하는 인간에덴, 레브를 통한 새로운 스토리 전개 인간 내면의 빛과 어둠의 내기는 결코 끝나지 않는다 빛도 어둠도 인간의 선택 세계를 뒤흔든 전염병과 바이러스, 욕망과 혼돈이 범람하는 시대에 인간 내면의 빛과 어둠은 인간을 향해 어떻게 손 내미는가 ‘인간은 무엇을 선택할 것인가에 관한 근원적 질문을 던지다."
14,더 맨 얼라이브,창작,서울숲 씨어터 2관,일시 : 2023.05.12 ~ 2023.12.31,"이유청, 강청광, 김준석, 김성길, 박휘범, 강태욱","김남현, 서병구, 장소영",
15,더 오디션,뮤지컬,해당공연 공연장,2023.03.02 ~ 2023.12.31,"양동헌, 송정현, 정인지, 신혜민","김하진, 손지혜","서주혁과 유가을, 최도치, 김미소는 같은 소속사 연습생으로 한 팀이다. 주혁과 가을이 팀을 이끌지만 팀에 만족하지 못하는 도치 때문에 번번이 분위기가 깨진다. 회사에서 데뷔를 위한 선발 오디션이 열리고 모두 연습이 한창인 때 도치의 돌발행동으로 오해가 생기고 팀은 와해된다. 급기야 도치가 연습생을 그만두고 팀원들은 희망도 없는 꿈에 시간 낭비하기 싫다는 도치를 붙잡지 못한다. 세상에 나선 도치는 현실이라는 벽에 부딪혀 좌절하고, 꿈을 위해 노력하던 시간이 얼마나 즐거웠는지와 같은 꿈을 키우던 팀원들을 떠올리게 된다. 방황하던 도치는 우연히 마주친 미소를 구해주며 팀원들에게 돌아갈 용기를 내는데, 도치의 걱정과 달리 팀원들은 다시 손을 내밀었고 네 사람은 힘을 합쳐 꿈을 위한 오디션을 준비한다."
16,더퍼포머 키즈 매직쇼 - 청주 ,어린이/가족,더퍼포머 씨어터,2023.06.24 ~ 2023.11.30,,,
17,동춘서커스 - 안산,어린이/가족,동춘서커스 빅탑극장,2016.06.29 ~ 오픈런,,,
18,드래곤 하이,어린이/가족,국립중앙박물관 극장 용,2023.09.02 ~ 2023.10.15,"이성훈, 이정하","이길준, 이승은, 박상우","하이는 머리에는 뿔이, 엉덩이에는 꼬리가 나 있는 '이상한' 아이예요. 남들과 다른 모습을 하고 태어난 하이는 자신을 바라보는 마을사람들의 따가운 시선, 자신을 둘러싼 불길한 소문과 마주하게 돼요. '나는 왜 남들과 똑같이 생기지 않았을까?' 고민하던 하이는, ""난 용이 될거야!!""라고 외치며 자신의 모습에 대한 의문을 풀기 위해 동생 로우와 함께 용의 나라를 찾아 모험을 떠나요. 마침내 도착한 용의나라! 하이와 로우 앞에 펼쳐진 모습은?! 과연 남매는 왕을 찾아 비밀을 풀어 낼 수 있을까?"
19,라면에 파송송,창작,로즈아트홀 (구.노방극장),2022.04.23 ~ 2024.01.27,"김재선, 김슬기, 김태경",,"비정규직을 전전하는 한 가정의 가장 다훈. 우연히 보증금 백만원과 월세 십오만원에 나온 라면가게 전단지를 보고 한걸음에 달려가지만 쉬울 줄 알았던 가게인수는 어렵기만 한데, 라면가게 주인 어르신이 이상하다. 정체를 알 수 없는 살벌한 여고생 영아와 밑바닥까지 떨어진 한류스타 강훈을 만나게 되는데 과연 이 라면에 파송송 가게에 무슨 일이 벌어지는 걸까? 다훈의 라면가게 인수 프로젝트는 무사히 성공할 수 있을까?"
20,라인업,뮤지컬,성균관대학교 새천년홀,2023.09.12 ~ 2023.12.28,"송정현, 이한솔, 임성목, 김태희, 박재석, 이호찬, 김영수, 손대영, 손지혜",김하진,"5인조 아이돌 연습생 (지수, 나봄, 현민, 연서, 호찬)은 '더 레전드'팀으로 같이 연습하며, 기획사에서 열리는 최종 라인업에서 번번이 떨어지게 된다. 결국 회사에서는 오랫동안 남아 있는 연습생을 정리하기로 결정하고, 마지막 오디션을 위해 심기일전 준비를 한다. 자신보다 팀을 더 중요하게 생각하는 대장 지수, 부드럽게 팀원들을 챙겨주며 연습이 끝나면 아르바이트를 하며 집안을 책임지고 있는 나봄, 언제나 남부러울 것 없이 도련님으로 자란 메인보컬 유학파 현민, 솔직하고 담백한 여자 메인보컬 연서, 꿈 많고 열정 넘치는 호찬 까지 그들은 최선을 다해 준비해서 최종 라인업까지 올라가지만 결국 현민이의 실수로 인해서 최종에서 떨어지고 만다. 그로 인해 서로 이야기는 안 하지만 많이들 지치게 되고 회사에서도 결과에 대한 상황을 기다리게 된다. 과연 그들은 희망이 없는 상황을 극복하고 최종 라인업에 들어가 아이돌 데뷔를 성공할 수 있을 것인가?"
21,런던레코드,창작,인사아트홀 1관,일시 : 2023.01.13 ~ 2023.12.31,"이채원, 해리 벤자민",,런던 외곽에 위치한 낡고 오래된 레코드 샵 주인 존은 오늘도 하루를 활기차게 시작해 본다. 하지만 텅 빈 레코드 샵에는 쓸쓸한 음악만 흘러 나오고 손님 구경한지 오래된 앨범들은 먼지만 가득 쌓여있다. 그때 커다란 가방을 들고 성큼 들어온 손님 찰리. 세계 일주를 방금 마치고 왔다는 그의 가방에는 신기한 물건들이 가득하다. 그리고 오디션에 떨어진 스칼렛은 풀이 죽은 채 존의 레코드 샵으로 들어오고 레코드 샵 주인 존이 혜성처럼 등장해 전 세계인의 마음을 감동시키고 전설처럼 사라진 밴드의 리더라는 것을 알게 된다. 공통점 없는 이 세 명의 만남은 음악으로 하나가 되어 가고 서로의 상처를 위로해주며 한 팀이 되어 간다.
